,ZIPCODE,Year,AAWDT,Total_Population,Pop_fraction,RACK_CAPACITY,Miles_Bike_Lanes,Sidewalk_length
0,98101,2007,264800.0,9478.973121282817,0.016191305490750173,2.0,,3665.7596603116654
1,98101,2008,254100.0,9583.147980810305,0.016191305490750173,2.0,0.32015222,
2,98101,2009,254100.0,9691.127797128118,0.016191305490750173,2.0,0.26376709,
3,98101,2010,257900.0,9855.0,0.016191305490750173,2.0,,
4,98101,2011,353100.0,10082.228781257189,0.016191305490750173,2.0,,
5,98101,2012,259292.0,10296.504518121776,0.016191305490750173,2.0,0.10792713000000001,
6,98101,2013,312500.0,10582.442973088424,0.016191305490750173,14.0,,
7,98101,2014,318800.0,10849.939531101107,0.016191305490750173,2.0,,
8,98101,2015,992674.8719629999,11129.676716064798,0.016191305490750173,2.0,,
9,98101,2016,992674.871963,11489.852306706536,0.016191305490750173,2.0,,
10,98101,2017,1160996.0,11797.972850195512,0.016191305490750173,2.0,,
11,98101,2018,1503049.0,12017.753630926954,0.016191305490750173,6.0,0.16139747,
12,98102,2007,64200.0,11975.92027733053,0.020456412447014755,2.0,,5673.521030917251
13,98102,2008,59900.0,12107.536835014624,0.020456412447014755,2.0,1.4798082599999998,
14,98102,2009,55500.0,12243.960649623765,0.020456412447014755,2.0,1.1887079,
15,98102,2010,50000.0,12451.000000000002,0.020456412447014755,2.0,0.06351257,
16,98102,2011,59500.0,12738.085292281407,0.020456412447014755,2.0,0.37549672,
17,98102,2012,63764.0,13008.805454605199,0.020456412447014755,2.0,0.04651205,
18,98102,2013,58000.0,13370.06569841948,0.020456412447014755,,,
19,98102,2014,62200.0,13708.02608845661,0.020456412447014755,2.0,,
20,98102,2015,324961.471043,14061.451526303685,0.020456412447014755,,,
21,98102,2016,324961.471043,14516.504421187528,0.020456412447014755,12.0,,
22,98102,2017,333107.0,14905.789950054219,0.020456412447014755,2.0,,
23,98102,2018,355297.0,15183.465292609997,0.020456412447014755,,,
24,98103,2007,331360.0,41993.149416751556,0.0717297013110768,2.0,0.43546859000000004,23336.84789555161
25,98103,2008,350700.0,42454.65831498702,0.0717297013110768,2.0,1.0019561600000002,
26,98103,2009,350400.0,42933.02369303059,0.0717297013110768,2.0,0.20339068999999999,
27,98103,2010,344000.0,43659.0,0.0717297013110768,14.0,0.24935326000000002,
28,98103,2011,299400.0,44665.654628199656,0.0717297013110768,2.0,0.05826311,
29,98103,2012,366641.0,45614.92549535044,0.0717297013110768,2.0,0.26274194,
30,98103,2013,317700.0,46881.67202050406,0.0717297013110768,2.0,,
31,98103,2014,506600.0,48066.71841586436,0.0717297013110768,12.0,,
32,98103,2015,1480778.7951053302,49305.99246541583,0.0717297013110768,10.0,0.45760306,98.21132628799094
33,98103,2016,1480778.7951053306,50901.619671080734,0.0717297013110768,12.0,,
34,98103,2017,1631811.0,52266.63588703053,0.0717297013110768,2.0,0.26305515,
35,98103,2018,1701467.0,53240.294852627085,0.0717297013110768,6.0,,
36,98104,2007,250500.0,9304.879348076103,0.0158939309302402,6.0,0.05811507,2934.0909175255856
37,98104,2008,266300.0,9407.140899681268,0.0158939309302402,2.0,0.21691447000000003,
38,98104,2009,269900.0,9513.137525055039,0.0158939309302402,2.0,0.5917815200000001,
39,98104,2010,273100.0,9674.000000000002,0.0158939309302402,14.0,0.06288003,
40,98104,2011,273400.0,9897.055426674991,0.0158939309302402,2.0,0.23476495000000003,
41,98104,2012,267164.0,10107.39570860579,0.0158939309302402,2.0,0.06087344,
42,98104,2013,299800.0,10388.082528833833,0.0158939309302402,14.0,,
43,98104,2014,284200.0,10650.666161732332,0.0158939309302402,6.0,0.221483,
44,98104,2015,835622.3651660001,10925.265606414092,0.0158939309302402,4.0,,
45,98104,2016,835622.3651660001,11278.826099957285,0.0158939309302402,2.0,,441.8358930980794
46,98104,2017,937090.0,11581.287605559755,0.0158939309302402,2.0,0.12197804000000001,
47,98104,2018,1396147.0,11797.031824006835,0.0158939309302402,2.0,,
48,98105,2007,176095.0,42853.03799822561,0.07319850162652385,2.0,0.09385347000000001,19038.401426454795
49,98105,2008,167700.0,43323.99715769067,0.07319850162652385,2.0,0.43719888,
50,98105,2009,169600.0,43812.15796503796,0.07319850162652385,2.0,0.10670108,
51,98105,2010,161600.0,44553.00000000001,0.07319850162652385,2.0,0.79363175,
52,98105,2011,204000.0,45580.26777182664,0.07319850162652385,2.0,0.25232036999999996,
53,98105,2012,181320.0,46548.97674235205,0.07319850162652385,2.0,0.52105382,
54,98105,2013,165500.0,47841.66228107647,0.07319850162652385,4.0,,
55,98105,2014,217800.0,49050.974726448265,0.07319850162652385,6.0,0.6442380499999999,
56,98105,2015,970510.5174169998,50315.62523904972,0.07319850162652385,2.0,0.47140616,
57,98105,2016,970510.5174169999,51943.92590773174,0.07319850162652385,8.0,0.6770120200000002,145.9969937360346
58,98105,2017,1230317.0,53336.89339368449,0.07319850162652385,,0.08435917000000001,
59,98105,2018,1351543.0,54330.48985476293,0.07319850162652385,6.0,,
60,98106,2007,202300.0,22668.740590806032,0.038721125094469816,,0.6289996999999999,11879.449543154917
61,98106,2008,217300.0,22917.87230966385,0.038721125094469816,,,
62,98106,2009,220700.0,23176.103492918868,0.038721125094469816,,0.12624641,
63,98106,2010,231300.0,23568.0,0.038721125094469816,2.0,,
64,98106,2011,327600.0,24111.412269575787,0.038721125094469816,,,
65,98106,2012,239640.0,24623.847639076,0.038721125094469816,0.0,0.27123919,
66,98106,2013,239600.0,25307.662708244337,0.038721125094469816,14.0,,
67,98106,2014,246800.0,25947.374415930073,0.038721125094469816,,,
68,98106,2015,786050.6369145,26616.35929418723,0.038721125094469816,6.0,1.98436582,
69,98106,2016,786550.6369145,27477.71072191371,0.038721125094469816,,,687.8551752388114
70,98106,2017,838599.0,28214.57373246147,0.038721125094469816,2.0,,481.1901735861387
71,98106,2018,867990.0,28740.174284493805,0.038721125094469816,10.0,,
72,98107,2007,71191.0,21413.534104426115,0.03657707094272664,2.0,0.15101848,12240.431987876313
73,98107,2008,72100.0,21648.87097887162,0.03657707094272664,2.0,0.34018097,
74,98107,2009,68800.0,21892.80346498866,0.03657707094272664,2.0,0.22214955000000003,
75,98107,2010,71400.0,22263.0,0.03657707094272664,14.0,,
76,98107,2011,81700.0,22776.322613610224,0.03657707094272664,2.0,0.15094093000000003,
77,98107,2012,123183.0,23260.383570466267,0.03657707094272664,0.0,0.7759814700000001,
78,98107,2013,121400.0,23906.33464331482,0.03657707094272664,14.0,,
79,98107,2014,126800.0,24510.624432359607,0.03657707094272664,6.0,,
80,98107,2015,582357.9217700001,25142.566487037097,0.03657707094272664,12.0,0.25201877,
81,98107,2016,582357.9217699999,25956.22343015805,0.03657707094272664,6.0,,
82,98107,2017,620893.0,26652.28509019814,0.03657707094272664,2.0,,
83,98107,2018,641881.0,27148.78225117471,0.03657707094272664,2.0,,
84,98108,2007,399100.0,21728.057109059246,0.03711431669569218,2.0,2.09394911,20783.429419582062
85,98108,2008,386900.0,21966.85062267933,0.03711431669569218,2.0,0.32801907,
86,98108,2009,341700.0,22214.3660007229,0.03711431669569218,2.0,0.36647668,
87,98108,2010,388300.0,22590.0,0.03711431669569218,2.0,0.38815299,
88,98108,2011,421700.0,23110.862320507345,0.03711431669569218,2.0,1.82836436,198.32288375030322
89,98108,2012,413250.0,23602.033187658137,0.03711431669569218,2.0,0.27089835,
90,98108,2013,387900.0,24257.47202050406,0.03711431669569218,8.0,,
91,98108,2014,423200.0,24870.63764663359,0.03711431669569218,,,
92,98108,2015,1071600.1937299997,25511.861696185064,0.03711431669569218,2.0,0.88063623,
93,98108,2016,1071600.1937300002,26337.469671080737,0.03711431669569218,2.0,,1449.1543607599917
94,98108,2017,1250456.0,27043.75511779976,0.03711431669569218,2.0,0.37067956,1355.5745115404695
95,98108,2018,1263061.0,27547.544852627085,0.03711431669569218,2.0,0.38554754,
96,98109,2007,169029.0,30272.11781290047,0.05170867150790261,2.0,,9266.895451678534
97,98109,2008,160400.0,30604.811405382316,0.05170867150790261,2.0,0.87676878,
98,98109,2009,157600.0,30949.656535668517,0.05170867150790261,2.0,0.34662944,
99,98109,2010,192600.0,31473.0,0.05170867150790261,,0.55707453,
100,98109,2011,374500.0,32198.679495941906,0.05170867150790261,2.0,0.06093838,
101,98109,2012,300184.0,32882.99205467749,0.05170867150790261,2.0,,
102,98109,2013,355900.0,33796.16719350705,0.05170867150790261,4.0,,
103,98109,2014,378200.0,34650.44615548911,0.05170867150790261,2.0,,
104,98109,2015,1009955.0006005,35543.81687313114,0.05170867150790261,2.0,0.16139289,
105,98109,2016,1009955.0006004999,36694.07627082444,0.05170867150790261,2.0,,392.37644496383183
106,98109,2017,1119190.0,37678.092289619824,0.05170867150790261,4.0,0.08360988,
107,98109,2018,1280718.0,38379.985796668094,0.05170867150790261,2.0,,
108,98112,2007,71900.0,23226.610140308218,0.039674038050800116,6.0,0.29358664,22305.79849921293
